,title,release_date,genre,run_time,certification,user_score,original_language,movie_budget,movie_revenue,keywords,actors,director_list
0,8 Women,09/20/2002 ,"['Comedy', 'Thriller', 'Music', 'Crime', 'Mystery']",1h 51m,R,70,French,8000000,,"['upper class', 'father murder', 'musical', 'daughter', 'family relationships', 'sibling rivalry', 'maid', 'father figure', 'christmas', 'murder hunt']","['Catherine Deneuve', 'Isabelle Huppert', 'Emmanuelle Béart', 'Fanny Ardant', 'Virginie Ledoyen', 'Ludivine Sagnier', 'Firmine Richard', 'Danielle Darrieux']",['François Ozon']
0,The Birdcage,03/08/1996 ,['Comedy'],1h 57m,R,70,English,31000000,185260553,"['drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing']","['Robin Williams', 'Nathan Lane', 'Gene Hackman', 'Dianne Wiest', 'Calista Flockhart', 'Dan Futterman', 'Hank Azaria', 'Christine Baranski']",['Mike Nichols']
0,The Squid and the Whale,10/05/2005 ,"['Comedy', 'Drama']",1h 21m,R,70,English,1500000,11098131,"['new york city', 'museum', 'uniform', 'independent film', 'writer', 'masturbation', 'private', 'brooklyn, new york city', 'tryst', '1980s']","['Jeff Daniels', 'Laura Linney', 'Jesse Eisenberg', 'Owen Kline', 'William Baldwin', 'Anna Paquin', 'David Benger', 'Elizabeth Meriwether']",['Noah Baumbach']
0,The Simpsons Movie,07/27/2007 ,"['Animation', 'Comedy', 'Family']",1h 27m,PG-13,70,English,75000000,527068851,"['parent child relationship', 'lake', 'springfield', 'duff beer', 'garbage', 'pig', 'pollution', 'environmental protection agency', 'quarantine', 'alcoholism', 'love', 'alaska', 'dysfunctional family', 'dysfunctional marriage', 'ecology', 'saving lives', 'first love', 'duringcreditsstinger', 'donuts']","['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria', 'Harry Shearer', 'Pamela Hayden', 'Tress MacNeille']",['David Silverman']
0,Wag the Dog,03/25/1998 ,"['Comedy', 'Drama']",1h 37m,R,70,English,15000000,64256513,"['washington d.c.', 'rape', 'cia', 'u.s. president', 'movie business', 'war veteran', 'staging', 'albania', 'sex scandal', 'senator', 'presidential election', 'gulf war', 'media adviser', 'manipulation of the media', 'election campaign', 'government', 'war', 'soldier', 'extramarital affair']","['Dustin Hoffman', 'Robert De Niro', 'Anne Heche', 'Woody Harrelson', 'James Belushi', 'Denis Leary', 'Willie Nelson', 'Andrea Martin']",['Barry Levinson']
0,Star Trek VI: The Undiscovered Country,12/06/1991 ,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",1h 53m,PG,69,English,27000000,96900000,"['farewell', 'federation', 'peace conference', 'uss enterprise-a', 'rura penthe', 'court case', 'peace contract', 'plan', 'space opera']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'Kim Cattrall', 'Christopher Plummer', 'James Doohan', 'George Takei', 'Walter Koenig']",['Nicholas Meyer']
0,The Road,11/25/2009 ,"['Adventure', 'Drama']",1h 51m,R,69,English,32000000,27635305,"['based on novel or book', 'post-apocalyptic future', 'dystopia', 'paternity', 'survival', 'duringcreditsstinger', 'starvation', 'struggle', 'father son relationship']","['Viggo Mortensen', 'Kodi Smit-McPhee', 'Charlize Theron', 'Robert Duvall', 'Guy Pearce', 'Molly Parker', 'Michael Kenneth Williams', 'Garret Dillahunt']",['John Hillcoat']
0,New Police Story,09/23/2004 ,"['Action', 'Thriller', 'Crime', 'Drama']",2h 3m,R,69,Cantonese,,,"['observer', 'fighter', 'partner', 'revenge', 'youth gang', 'hong kong', 'alcoholic']","['Jackie Chan', 'Nicholas Tse', 'Charlie Yeung', 'Charlene Choi', 'Daniel Wu', 'Dave Wong Kit', 'Andy On', 'Terence Yin']",['Benny Chan']
0,Hellraiser,09/18/1987 ,['Horror'],1h 34m,R,69,English,1000000,14564027,"['underworld', 'seduction', 'supernatural', 'revenge', 'undead', 'human sacrifice', 'demon', 'puzzle box', 'cult film', 'attic', 'cenobite', 'body horror']","['Andrew Robinson', 'Clare Higgins', 'Ashley Laurence', 'Sean Chapman', 'Oliver Smith', 'Robert Hines', 'Anthony Allen', 'Leon Davis']",['Clive Barker']
0,Asterix: The Secret of the Magic Potion,03/14/2019 ,"['Animation', 'Family', 'Comedy', 'Adventure']",1h 25m,G,69,French,,45631901,[],"['Christian Clavier', 'Guillaume Briat', 'Alex Lutz', 'Alexandre Astier', 'Elie Semoun', 'Daniel Mesguich', 'Bernard Alane', 'François Morel']","['Alexandre Astier', 'Louis Clichy']"
